Label,S1,S2,S3,S4,S5,S6,S7
1,4.61,1.92,2.29,1.49,61.28,5.02,82.6
1,5.4,6.8,2.47,3.57,24.69,4.55,73.7
0,22.44,33.96,27.53,43.05,2.27,15.0,56.5
1,4.63,1.94,2.3,1.51,62.53,4.95,81.8
1,4.93,2.04,2.42,2.86,63.81,4.29,77.4
1,4.52,1.82,2.26,1.38,65.15,4.82,82.6
1,5.61,9.67,2.5,4.02,17.67,5.24,73.6
1,4.67,1.97,2.3,1.59,62.53,5.04,82.1
1,4.93,2.03,2.41,2.74,64.47,4.27,76.7
1,4.63,1.89,2.27,1.48,61.28,5.0,82.6
1,4.93,2.1,2.42,3.27,60.09,4.39,76.5
0,24.63,8.84,7.74,10.85,6.52,16.56,69.3
1,4.63,1.96,2.29,1.5,62.53,4.91,81.9
0,25.6,7.16,7.83,6.03,12.51,16.7,72.5
0,23.95,8.67,7.38,9.63,7.19,16.35,70.2
1,4.67,1.87,2.27,1.38,62.53,5.13,82.0
0,24.63,9.05,7.95,11.29,6.47,16.98,68.5
0,25.72,37.65,27.53,47.84,2.21,15.5,56.2
0,25.72,9.3,8.68,14.03,5.95,16.35,64.0
0,24.52,8.87,7.89,11.85,6.17,16.77,67.0
0,23.28,6.66,6.4,6.46,11.33,15.88,72.8
1,7.66,9.45,2.54,3.81,16.49,8.26,73.7
0,20.97,5.79,5.65,4.0,17.18,13.83,73.4
1,4.93,2.04,2.41,3.08,61.9,4.39,76.5
1,4.84,2.01,2.39,2.33,62.53,4.39,78.1
1,5.04,2.23,2.44,3.49,49.63,4.23,74.9
1,4.73,2.04,2.32,1.59,63.16,4.95,82.4
1,4.88,2.08,2.42,3.16,57.27,4.39,75.7
1,4.93,2.06,2.42,2.92,61.9,4.41,76.7
0,22.03,34.15,28.66,42.44,2.4,14.76,56.6
0,23.61,8.57,7.2,9.01,7.51,16.91,70.4
0,21.64,32.32,27.53,40.39,2.36,14.88,56.5
1,4.5,1.81,2.26,1.39,64.47,4.82,82.5
0,23.72,32.32,26.2,40.96,2.23,15.25,56.5
1,4.5,1.85,2.24,1.36,64.47,4.78,82.0
0,24.75,9.09,7.92,11.29,6.49,16.98,68.6
0,22.14,7.49,6.4,7.65,8.88,15.43,70.9
0,22.44,7.08,6.35,6.53,10.25,15.69,72.6
0,22.54,7.88,6.67,8.11,8.41,16.15,71.0
1,4.54,1.89,2.27,1.47,61.28,4.82,82.0
0,24.06,6.94,6.89,6.23,11.06,15.88,72.6
0,21.93,6.11,5.94,6.48,11.9,15.37,72.8
0,23.61,41.76,29.41,48.98,2.21,14.7,56.2
1,4.73,1.94,2.3,1.56,62.53,5.11,82.1
1,5.35,3.05,2.47,3.49,27.78,4.53,73.8
0,25.85,37.88,27.81,47.84,2.19,15.88,56.2
1,5.73,9.05,2.5,3.9,17.26,5.36,74.2
0,22.03,6.97,6.12,6.56,10.37,15.43,72.5
0,24.99,7.73,7.58,4.9,13.84,15.43,72.8
1,4.88,2.04,2.39,2.86,62.53,4.29,77.3
0,23.07,8.07,6.81,8.33,8.15,16.49,70.8
1,4.93,2.03,2.41,2.86,62.53,4.29,77.3
1,4.99,2.3,2.42,3.24,46.45,4.19,74.8
1,4.95,2.14,2.45,3.52,52.74,4.27,75.2
1,5.1,2.24,2.42,3.48,48.4,4.25,74.8
0,22.03,7.34,6.35,7.38,9.28,15.62,71.2
0,22.14,7.34,6.3,7.15,9.46,15.43,71.3
1,4.67,1.94,2.3,1.55,62.53,5.11,82.1
1,4.99,2.11,2.44,3.21,52.74,4.31,75.2
1,4.57,1.89,2.27,1.48,63.81,4.91,82.2
0,22.44,7.55,6.45,7.65,8.99,15.5,71.0
0,23.5,8.6,7.14,8.91,7.62,16.7,69.6
1,4.65,1.89,2.3,1.37,62.53,5.13,82.0
1,4.61,1.92,2.29,1.49,63.16,4.98,82.6
1,4.69,1.92,2.29,1.36,61.9,5.11,81.9
1,4.5,1.85,2.26,1.39,62.53,4.78,82.8
0,25.85,37.65,28.23,47.84,2.21,15.95,56.2
0,24.4,8.94,7.74,10.81,6.57,16.91,69.4
0,22.14,7.11,6.22,6.72,10.16,15.5,72.4
0,21.25,5.32,5.44,4.27,16.05,14.0,72.2
0,22.03,7.25,6.22,6.99,9.61,15.31,71.5
0,25.72,9.56,8.71,13.4,6.29,17.12,65.9
1,4.93,2.06,2.42,2.98,60.68,4.37,76.1
1,5.38,2.45,2.47,3.52,32.52,4.37,74.5
0,21.74,33.21,27.95,41.25,2.37,14.94,56.5
0,25.11,9.12,8.11,12.65,5.91,16.77,66.3
0,24.4,6.97,7.0,6.11,11.38,15.82,72.7
0,22.65,33.77,26.85,42.13,2.23,14.52,56.5
1,4.44,1.79,2.26,1.38,64.47,4.82,83.1
1,4.57,1.83,2.26,1.4,62.53,4.82,83.0
1,5.71,9.6,2.5,4.04,17.18,5.29,73.6
1,16.69,9.86,2.92,4.46,13.84,12.72,73.4
1,4.93,2.07,2.42,3.27,61.9,4.39,76.3
1,4.63,1.96,2.29,1.49,61.28,4.95,82.0
0,24.29,6.99,6.92,6.18,11.15,16.15,72.7
1,4.67,1.96,2.29,1.54,62.53,5.09,81.9
1,4.65,1.96,2.3,1.49,63.16,4.93,82.2
1,4.91,2.04,2.41,2.63,65.15,4.37,77.7
0,22.24,31.12,25.32,40.11,2.27,14.4,56.5
1,4.61,1.92,2.3,1.48,63.16,5.0,82.4
1,4.88,2.04,2.42,2.89,63.81,4.29,77.2
1,5.33,7.76,2.48,3.62,23.04,4.72,74.3
0,21.84,7.25,6.25,7.1,9.43,15.5,71.5
0,24.75,6.29,7.71,5.06,13.6,15.75,72.4
0,25.72,37.43,27.53,48.6,2.18,15.56,56.2
1,4.46,1.81,2.26,1.39,64.47,4.8,83.0
0,22.03,33.96,28.66,42.44,2.38,14.76,56.6
1,5.68,9.56,2.48,4.04,17.18,5.45,73.6
1,4.54,1.85,2.26,1.39,63.81,4.8,81.9
1,4.88,2.01,2.42,3.1,60.09,4.33,76.3
1,4.67,1.94,2.3,1.58,61.9,5.11,82.0
1,4.63,1.9,2.27,1.38,55.68,5.13,82.0
0,22.03,33.96,28.52,42.13,2.4,14.7,56.6
1,11.0,10.22,2.62,4.52,14.44,9.93,74.0
0,20.15,29.53,24.72,34.47,2.16,13.56,56.5
0,24.29,8.87,7.68,10.59,6.65,16.77,69.4
0,25.23,9.12,8.41,13.62,5.88,16.42,65.3
0,20.69,5.52,5.51,4.96,14.89,14.46,72.4
1,6.99,9.75,2.54,4.02,15.77,7.13,73.7
0,22.34,7.08,6.25,6.58,10.25,15.69,72.6
0,25.6,6.97,7.92,5.68,11.85,16.28,72.3
1,4.86,2.04,2.41,3.16,59.5,4.37,75.8
0,24.87,6.77,7.62,5.61,12.25,15.75,73.0
1,4.71,1.98,2.29,1.55,63.81,5.06,82.0
1,4.69,1.94,2.3,1.54,62.53,5.02,82.0
1,16.76,8.57,3.45,4.02,15.56,12.42,73.2
1,4.48,1.85,2.27,1.39,64.47,4.76,83.3
0,23.72,41.24,29.56,48.98,2.21,14.82,56.2
1,4.5,1.83,2.26,1.31,62.53,4.78,82.6
0,22.34,6.69,6.17,6.11,11.15,15.43,72.4
0,22.03,6.74,6.19,6.18,11.19,15.25,72.3
1,13.72,9.98,2.7,4.13,15.09,10.99,73.5
0,25.6,6.88,7.83,5.66,11.9,16.15,72.3
0,22.54,32.32,25.82,41.25,2.26,15.06,56.5
1,4.69,1.89,2.27,1.37,61.9,5.13,81.9
0,21.54,31.8,27.12,39.29,2.36,14.76,56.5
1,4.65,1.94,2.29,1.49,63.81,4.95,82.0
0,24.17,8.33,7.38,4.82,13.32,15.62,72.8
1,4.91,2.03,2.42,2.79,60.68,4.35,76.2
1,5.73,8.4,2.51,3.62,18.25,5.36,73.5
1,4.88,2.03,2.42,2.62,62.53,4.39,77.4
0,26.36,6.8,8.37,5.26,12.93,16.42,72.5
1,5.38,2.59,2.48,3.56,29.11,4.49,73.8
1,4.5,1.83,2.26,1.4,60.68,4.84,82.1
1,8.16,9.09,2.54,3.88,16.2,8.32,73.8
0,22.03,33.96,28.52,42.44,2.4,14.7,56.6
0,26.36,7.05,8.51,5.06,12.93,15.82,72.5
0,24.4,8.84,7.62,10.51,6.7,16.63,69.5
0,19.04,5.2,5.07,6.01,13.84,14.17,72.8
1,4.71,1.96,2.29,1.51,63.81,5.04,82.1
1,4.52,1.81,2.26,1.39,63.16,4.76,83.4
1,4.91,2.04,2.42,2.96,62.53,4.33,77.2
0,25.72,7.11,8.15,5.63,11.71,16.7,72.3
1,6.0,9.16,2.51,3.64,17.58,5.71,73.5
0,24.63,8.91,7.83,11.16,6.47,16.84,68.8
0,24.29,6.69,7.29,5.61,13.37,16.02,72.5
0,22.75,33.96,26.85,42.13,2.23,14.88,56.5
1,4.52,1.85,2.27,1.39,65.83,4.82,82.0
1,4.57,1.86,2.27,1.45,62.53,4.91,81.1
0,22.03,33.03,26.46,40.39,2.21,14.29,56.5
1,4.91,2.1,2.42,3.28,55.68,4.31,75.7
0,22.54,33.96,27.67,43.05,2.27,15.06,56.5
0,26.36,8.3,8.51,4.88,12.82,16.7,72.6
0,24.99,9.05,8.21,12.91,5.91,16.42,66.0
1,4.91,2.03,2.41,2.73,62.53,4.41,78.2
1,4.69,1.98,2.29,1.6,62.53,5.02,82.1
0,22.03,33.77,28.66,42.13,2.42,14.7,56.6
1,4.93,2.07,2.38,3.21,60.09,4.39,76.3
1,4.5,1.82,2.26,1.37,62.53,4.84,82.6
0,25.11,9.09,8.11,12.75,5.86,16.28,66.2
0,25.23,9.16,8.18,12.86,5.91,16.49,66.1
0,23.95,8.8,7.52,10.06,6.97,16.84,69.7
1,4.84,2.0,2.42,2.2,65.15,4.37,78.1
0,22.03,33.96,28.37,42.13,2.38,14.58,56.6
0,21.93,33.77,28.23,41.83,2.37,14.94,56.5
1,18.87,9.45,4.2,4.58,13.96,13.61,73.1
0,22.14,7.22,6.22,7.01,9.5,15.5,72.1
0,24.75,9.01,8.05,12.14,6.12,16.91,66.8
1,16.76,9.63,3.01,4.39,14.14,12.62,73.4
0,25.85,7.16,8.34,5.45,11.9,16.42,72.1
0,23.5,6.77,6.72,6.23,11.24,16.15,72.8
0,22.14,33.96,28.52,42.13,2.41,15.18,56.6
1,4.86,2.01,2.42,2.56,64.47,4.39,78.1
0,24.63,8.87,7.89,11.8,6.17,16.77,67.0
0,23.5,8.37,7.03,8.73,7.68,16.49,70.7
0,20.42,27.92,23.47,32.6,2.11,13.4,56.5
1,4.8,2.0,2.41,2.46,64.47,4.29,78.8
0,25.6,9.34,8.74,13.97,6.02,16.7,64.5
0,23.18,42.29,29.87,48.6,2.21,14.52,55.8
0,21.54,5.72,5.99,5.28,14.44,14.52,72.4
1,4.67,1.98,2.3,1.59,64.47,5.09,82.3
0,21.64,32.49,27.53,40.67,2.36,14.82,56.5
0,22.24,7.58,6.48,7.71,8.85,15.75,70.9
1,4.57,1.89,2.26,1.47,64.47,4.93,82.2
1,4.71,2.04,2.3,1.62,61.9,4.95,82.0
1,4.59,1.85,2.24,1.4,62.53,4.89,82.0
1,16.55,8.57,3.4,4.11,15.56,12.42,73.2
0,20.51,5.62,5.44,6.23,12.77,14.7,72.8
0,25.35,9.19,8.44,13.68,5.88,16.56,64.6
0,22.03,6.77,6.14,6.3,10.97,15.25,72.3
0,22.14,7.31,6.3,7.27,9.39,15.43,71.3
0,23.07,6.53,5.94,4.96,12.88,15.62,72.4
0,24.52,8.87,7.55,10.14,6.97,15.82,69.7
0,22.34,6.91,6.22,6.38,10.66,15.5,71.9
0,22.44,7.82,6.56,7.92,8.64,15.95,70.8
0,24.4,8.91,7.71,10.68,6.6,16.77,69.4
1,5.35,3.39,2.47,3.43,26.99,4.51,73.8
0,26.1,6.97,8.18,4.88,13.72,16.08,72.7
1,5.08,2.33,2.19,3.3,45.35,4.21,74.8
0,15.12,4.15,3.81,4.46,18.51,12.13,72.5
1,4.73,1.97,2.32,1.58,62.53,5.13,81.5
0,25.35,9.19,8.37,13.29,5.91,16.63,65.7
0,26.1,7.14,8.21,5.41,12.05,16.28,72.1
0,23.5,6.8,6.59,6.28,11.24,16.08,72.9
1,4.93,2.04,2.42,3.05,58.93,4.39,76.1
1,4.67,1.96,2.3,1.49,62.53,4.93,82.4
0,23.28,8.23,6.94,8.56,7.96,16.49,70.8
1,5.35,2.38,2.45,3.28,39.57,4.19,74.0
1,20.69,9.23,5.32,4.84,13.49,14.23,72.8
0,24.4,8.94,7.77,10.85,6.49,16.42,69.1
0,21.74,33.03,27.95,41.25,2.37,14.94,56.5
1,4.48,1.82,2.26,1.38,62.53,4.82,82.6
1,4.91,2.11,2.42,3.24,53.69,4.33,75.4
0,24.17,8.07,7.09,4.68,13.72,15.5,72.8
1,5.08,2.3,2.44,3.33,44.29,4.25,74.4
1,6.33,9.23,2.3,3.88,16.42,6.16,73.6
1,7.24,9.19,2.53,3.95,16.34,7.6,73.8
0,23.28,8.43,7.06,8.8,7.75,16.7,70.6
0,22.44,6.99,6.3,6.61,10.29,15.75,72.6
0,22.44,33.58,26.72,41.54,2.22,14.58,56.5
0,24.17,8.7,7.43,9.83,7.11,16.7,70.0
0,24.87,9.05,8.15,12.75,5.86,16.42,66.3
0,22.03,6.66,6.14,6.23,11.15,15.69,72.3
0,24.63,9.01,7.95,11.71,6.29,16.84,67.9
0,24.17,6.83,6.94,5.87,11.85,15.95,72.5
0,24.99,8.91,8.34,13.79,5.86,15.75,62.7
1,5.17,2.23,2.42,3.32,49.22,4.25,74.8
1,5.15,2.3,2.44,3.25,44.64,4.25,74.5
1,4.59,1.89,2.29,1.48,62.53,5.0,82.6
0,25.6,9.37,8.68,13.91,5.98,16.63,64.3
1,11.21,9.52,2.62,4.35,15.02,10.01,74.1
1,5.35,4.47,2.47,3.39,26.39,4.53,73.8
1,4.91,2.04,2.41,2.86,61.9,4.31,77.4
1,4.57,1.89,2.27,1.46,62.53,4.89,82.0
0,22.75,34.93,27.95,44.01,2.27,15.31,56.5
0,22.34,6.16,6.19,6.15,11.15,15.5,72.4
1,5.35,2.39,2.45,3.16,33.8,4.29,73.8
1,5.06,2.27,2.44,3.16,47.6,4.25,74.8
1,4.59,1.87,2.27,1.46,63.81,4.91,82.4
1,4.63,1.93,2.29,1.49,62.53,4.93,82.0
0,22.03,6.99,6.25,6.72,10.25,15.88,72.0
0,24.63,8.87,7.8,11.02,6.44,16.63,68.7
0,21.93,32.85,26.72,41.54,2.24,14.23,56.5
1,4.93,2.07,2.42,2.63,59.5,4.37,76.2
1,4.69,1.96,2.26,1.56,63.81,5.09,82.1
1,4.46,1.81,2.26,1.39,62.53,4.84,83.0
0,27.55,8.27,9.13,5.09,12.4,16.77,72.7
0,22.34,7.11,6.35,6.53,10.41,15.69,72.0
0,22.65,6.42,6.14,6.46,11.52,15.82,72.8
0,22.24,8.7,6.3,7.32,9.24,15.43,71.2
1,4.52,1.83,2.26,1.41,62.53,4.91,81.9
0,24.87,9.09,8.24,12.96,5.88,16.42,66.0
1,4.99,2.08,2.44,3.16,54.18,4.35,75.4
0,24.52,8.8,7.68,10.89,6.44,16.49,68.9
1,4.91,2.04,2.42,3.21,63.16,4.37,77.3
0,22.24,6.66,6.17,6.13,11.15,15.37,72.2
0,22.34,7.55,6.45,7.65,8.88,15.75,70.9
1,6.93,9.9,2.51,4.02,15.77,7.01,73.7
1,4.61,1.92,2.29,1.48,63.16,4.98,82.1
0,22.34,33.77,27.53,42.74,2.27,15.0,56.5
1,18.63,8.63,4.52,4.41,14.51,13.34,73.5
1,4.52,1.81,2.27,1.39,63.81,4.78,82.4
